0.0 0x 0y 0z 1x 1y 1z 2x 2y 2z 3x 3y 3z 4x 4y 4z 5x 5y 5z 6x 6y 6z 7x 7y 7z 8x 8y 8z 9x 9y 9z 10x 10y 10z 11x 11y 11z 12x 12y 12z 13x 13y 13z 14x 14y 14z 15x 15y 15z 16x 16y 16z 17x 17y 17z 18x 18y 18z 19x 19y 19z 20x 20y 20z 21x 21y 21z 22x 22y 22z 23x 23y 23z 24x 24y 24z 25x 25y 25z 26x 26y 26z 27x 27y 27z 28x 28y 28z 29x 29y 29z 30x 30y 30z 31x 31y 31z 32x 32y 32z 33x 33y 33z 34x 34y 34z 35x 35y 35z 36x 36y 36z 37x 37y 37z 38x 38y 38z 39x 39y 39z 40x 40y 40z 41x 41y 41z 42x 42y 42z 43x 43y 43z 44x 44y 44z 45x 45y 45z 46x 46y 46z 47x 47y 47z 48x 48y 48z 49x 49y 49z 50x 50y 50z 51x 51y 51z 52x 52y 52z 53x 53y 53z 54x 54y 54z 55x 55y 55z 56x 56y 56z 57x 57y 57z 58x 58y 58z 59x 59y 59z 60x 60y 60z 61x 61y 61z 62x 62y 62z 63x 63y 63z 64x 64y 64z 65x 65y 65z 66x 66y 66z 67x 67y 67z 68x 68y 68z 69x 69y 69z 70x 70y 70z 71x 71y 71z 72x 72y 72z 73x 73y 73z 74x 74y 74z 75x 75y 75z 76x 76y 76z 77x 77y 77z 78x 78y 78z 79x 79y 79z 80x 80y 80z 81x 81y 81z 82x 82y 82z 83x 83y 83z 84x 84y 84z 85x 85y 85z 86x 86y 86z 87x 87y 87z 88x 88y 88z 89x 89y 89z 90x 90y 90z 91x 91y 91z 92x 92y 92z 93x 93y 93z 94x 94y 94z 95x 95y 95z 96x 96y 96z 97x 97y 97z 98x 98y 98z 99x 99y 99z
1390385863.165 261.582 162.918 886 257.539 160.054 888 252.514 159.475 890 247.953 161.799 904 245.315 166.334 899 248.998 166.74 892 253.551 166.174 888 257.99 164.756 886 284.012 160.303 904 287.44 156.771 911 292.475 155 921 297.613 156.223 926 300.876 159.921 931 297.384 161.148 923 292.676 161.571 914 287.97 161.235 907 262.346 150.416 888 253.26 150.194 886 243.405 152.592 904 237.841 157.795 904 235.246 163.96 907 237.725 165.027 904 240.851 160.178 904 245.372 156.79 904 253.663 155.246 892 262.042 155.079 890 280.549 147.911 921 289.63 145.848 928 300.368 146.174 949 307.095 150.265 973 310.538 155.415 0 308.414 157.011 0 304.344 152.959 957 298.838 150.639 933 290.02 150.874 921 281.528 152.446 909 267.338 161.569 890 266.577 166.702 888 264.322 170.846 886 261.329 175.076 883 263.009 180.585 883 269.901 178.403 888 274.34 177.839 895 282.619 178.346 899 283.852 172.693 899 280.621 169.17 897 278.47 165.527 895 277.496 160.469 899 258.662 200.595 877 262.191 193.392 879 267.576 188.111 883 273.235 188.216 890 279.041 186.833 899 285.341 190.574 904 290.13 196.623 921 286.092 197.464 911 280.857 198.278 897 274.107 199.143 888 267.724 200.152 881 262.591 200.619 877 262.907 198.343 877 267.108 194.595 881 273.529 193.051 888 280.218 193.029 899 285.565 195.408 907 279.973 193.264 897 273.601 193.295 888 267.4 194.785 881 233.212 171.407 904 232.641 181.381 907 233.267 191.464 904 234.543 201.884 909 236.994 212.418 923 241.498 221.548 946 247.517 226.827 946 255.375 230.466 944 265.378 232.165 941 276.84 232.386 949 288.288 229.877 968 298.884 226.153 990 306.995 219.917 0 312.534 212.087 0 315.418 201.702 0 316.142 191.015 0 316.12 180.444 0 315.127 170.667 0 313.178 160.475 0 253.18 163.531 888 292.556 159.021 914 272.499 175.37 892 262.536 146.224 883 252.771 146.028 877 241.166 148.975 914 234.001 155.558 911 230.906 162.535 911 279.954 143.878 923 289.761 141.69 933 302.359 142.198 970 310.661 147.337 978 314.53 153.143 0
1390385863.259 274.328 170.311 944 270.711 167.811 944 266.168 167.249 949 261.875 169.038 954 259.122 172.709 954 262.575 173.223 949 266.808 172.904 944 270.963 171.803 944 295.599 168.558 959 298.84 165.703 965 303.44 164.384 973 308.049 165.46 984 311.053 168.558 990 307.786 169.596 978 303.46 169.878 970 299.181 169.471 962 275.071 157.321 941 267.068 156.79 939 258.385 158.442 962 253.294 162.748 962 250.665 167.992 962 252.595 169.156 959 255.773 165.086 959 260.044 162.363 962 267.351 161.351 949 274.738 161.477 944 293.058 155.622 976 301.019 154.001 981 310.28 154.395 1001 316.123 158.021 1019 319.106 162.548 0 317.347 164.021 0 313.736 160.499 1007 308.854 158.485 990 301.216 158.536 976 293.707 159.712 968 280.034 169.066 946 279.294 173.913 944 277.11 177.917 944 273.918 181.892 941 275.371 186.913 941 282.11 185.006 949 286.594 184.6 952 294.145 185.394 957 295.379 180.324 957 292.211 176.815 954 290.252 173.107 954 289.494 168.331 954 271.207 204.4 936 274.615 197.986 939 279.799 193.339 944 284.898 193.577 952 290.115 192.512 957 295.688 196.117 962 299.681 201.781 976 296.28 203.173 970 291.648 204.288 962 285.443 205.103 949 279.416 205.624 936 274.688 205.366 936 275.121 202.73 936 279.083 199.238 939 284.999 197.973 949 291.022 198.203 957 295.641 200.762 965 290.855 199.455 954 285.112 199.547 949 279.379 200.49 939 247.203 177.262 962 246.723 186.28 965 247.314 195.221 959 248.506 204.325 962 250.724 213.341 973 254.586 221.201 987 260.058 226.287 993 267.205 230.078 993 276.231 232.328 995 286.793 232.889 1004 297.175 230.784 1025 306.528 227.149 1044 313.824 221.435 1060 318.943 214.322 0 321.78 205.588 0 322.978 196.521 0 323.507 187.468 0 323.133 178.967 0 321.861 169.991 0 266.569 170.631 944 303.426 167.701 970 284.605 182.358 949 275.477 153.54 936 266.877 153.007 939 256.584 155.065 970 249.971 160.525 965 246.862 166.456 968 292.492 151.969 981 301.084 150.257 990 312.026 150.827 1010 319.352 155.4 0 322.747 160.525 0
1390385863.306 278.346 173.125 962 274.841 170.695 965 270.411 170.131 968 266.184 171.801 973 263.408 175.28 973 266.786 175.832 968 270.949 175.574 965 275.04 174.546 962 299.322 171.608 976 302.521 168.901 984 307.015 167.684 995 311.483 168.733 1001 314.383 171.713 1010 311.193 172.709 1001 306.97 172.957 990 302.798 172.527 984 279.212 160.196 959 271.444 159.593 959 263.018 161.068 984 257.995 165.142 978 255.32 170.16 978 257.128 171.367 978 260.331 167.496 976 264.56 164.935 978 271.665 164.044 970 278.849 164.238 962 297.09 158.729 995 304.785 157.226 1004 313.678 157.647 1025 319.296 161.14 1034 322.135 165.508 0 320.454 166.948 1031 316.996 163.571 1022 312.286 161.635 1010 304.94 161.639 998 297.671 162.711 984 284.066 171.933 965 283.312 176.724 965 281.132 180.69 962 277.892 184.604 962 279.287 189.534 962 286.015 187.703 965 290.482 187.341 970 297.773 188.187 978 299.02 183.245 976 295.938 179.731 973 294.047 176.013 973 293.354 171.292 976 274.981 206.507 954 278.422 200.284 957 283.607 195.791 962 288.587 196.058 968 293.692 195.077 976 299.018 198.641 987 302.723 204.209 995 299.495 205.699 987 295.027 206.863 981 288.943 207.661 965 282.991 208.078 962 278.359 207.667 957 278.858 204.974 954 282.806 201.546 959 288.602 200.346 965 294.418 200.636 981 298.805 203.221 987 294.241 202.085 981 288.697 202.181 965 283.079 203.005 959 251.185 179.652 981 250.699 188.503 984 251.268 197.266 981 252.409 206.149 984 254.563 214.891 990 258.299 222.523 1001 263.653 227.56 1010 270.654 231.365 1013 279.483 233.695 1013 289.845 234.322 1025 299.937 232.297 1040 308.96 228.681 1060 316.014 223.074 1073 321.001 216.113 0 323.827 207.695 0 325.167 198.955 0 325.855 190.217 0 325.654 181.983 0 324.565 173.275 0 270.746 173.373 965 306.961 170.854 990 288.442 185.129 968 279.676 156.503 957 271.334 155.892 954 261.35 157.735 987 254.842 162.893 984 251.692 168.56 984 296.55 155.16 998 304.855 153.574 1007 315.374 154.172 1034 322.428 158.589 1047 325.671 163.541 0
1390385863.431 289.361 182.846 1031 286.005 179.998 1034 281.64 179.016 1040 277.416 180.581 1047 274.618 184.229 1044 277.966 184.92 1044 282.03 184.869 1034 286.027 184.066 1031 308.924 182.686 1050 312.204 180.003 1056 316.714 178.946 1066 321.084 180.47 1069 323.675 183.929 1069 320.541 184.654 1069 316.435 184.591 1060 312.379 183.857 1056 290.987 171.617 1028 282.916 170.572 1034 273.964 171.765 1053 268.654 175.952 1053 265.843 181.168 1053 267.971 182.147 1050 271.225 178.135 1047 275.526 175.555 1047 282.963 174.98 1037 290.338 175.628 1034 306.913 171.272 1060 314.933 170.281 1069 324.19 171.51 1086 329.646 175.799 1104 332.281 180.688 0 330.219 181.808 1104 326.995 177.827 1086 322.479 175.256 1076 314.858 174.667 1066 307.425 175.279 1056 294.522 182.146 1034 293.64 186.551 1031 291.472 189.9 1031 288.552 193.074 1028 289.633 197.944 1031 296.035 196.672 1034 300.048 196.633 1037 307.125 197.805 1047 308.529 193.056 1047 305.747 189.803 1044 304.022 186.513 1044 303.464 182.095 1044 284.497 214.189 1028 288.28 208.558 1031 293.45 204.607 1034 298.365 205.242 1040 303.392 204.538 1047 308.654 208.215 1053 312.501 213.662 1066 308.842 213.996 1056 304.204 214.18 1047 298.454 214.266 1034 292.833 214.542 1031 288.148 214.547 1031 288.246 212.628 1031 292.427 210.021 1031 298.31 209.364 1037 304.235 209.891 1047 308.717 212.273 1056 304.047 209.866 1047 298.349 209.291 1037 292.662 209.992 1031 263.769 187.518 1056 262.696 196.107 1060 262.55 204.79 1066 262.992 213.827 1063 264.473 222.97 1076 267.886 230.975 1090 272.983 235.845 1093 279.759 239.494 1086 288.438 241.721 1086 298.452 242.822 1097 308.568 241.627 1114 317.885 239.342 1140 325.245 234.825 1183 330.547 228.741 0 333.624 220.336 1542 334.748 211.467 0 335.332 202.589 0 335.029 194.35 0 334.001 185.595 0 281.883 182.565 1040 316.494 182.392 1060 298.393 194.361 1034 291.422 168.035 1025 282.762 166.96 1025 272.181 168.49 1060 265.303 173.791 1056 261.995 179.688 1060 306.687 167.716 1063 315.322 166.683 1076 326.248 168.238 1100 333.135 173.614 0 336.138 179.123 0
1390385863.524 293.066 187.665 1056 289.705 184.948 1060 285.399 184.069 1063 281.286 185.524 1069 278.515 188.9 1069 281.938 189.648 1063 285.942 189.623 1060 289.815 188.833 1060 311.632 187.318 1079 314.684 184.723 1083 318.992 183.671 1090 323.237 184.976 1093 325.937 188.077 1100 322.945 188.93 1090 319.024 189.007 1086 315.088 188.373 1083 294.115 176.38 1056 286.251 175.34 1060 277.603 176.38 1076 272.563 180.483 1076 269.877 185.524 1079 272.006 186.327 1073 275.181 182.527 1069 279.338 180.096 1073 286.467 179.574 1066 293.535 180.199 1060 309.476 176.048 1083 316.95 174.79 1093 325.585 175.498 1107 330.892 179.439 1129 333.695 184.078 0 331.675 185.184 1122 328.476 181.554 1114 324.184 179.299 1097 317.11 179.008 1090 310.223 179.806 1083 298.061 186.917 1060 297.648 191.614 1060 295.888 195.252 1056 293.236 198.441 1056 294.495 203.186 1060 300.779 202.006 1060 304.834 201.955 1063 311.39 202.79 1073 312.387 198.106 1073 309.364 194.812 1069 307.475 191.282 1069 306.695 186.689 1069 290.812 218.461 1056 294.183 213.369 1056 298.947 209.692 1060 303.547 210.282 1063 308.037 209.497 1069 313.024 212.745 1079 316.722 217.622 1090 313.549 218.625 1083 309.317 219.358 1073 304.124 219.66 1063 298.804 219.75 1060 294.299 219.376 1056 294.368 217.108 1056 298.189 214.777 1056 303.704 214.155 1060 309.155 214.523 1069 313.065 216.625 1079 309.048 215.047 1069 303.745 214.806 1060 298.42 215.293 1056 268.062 191.76 1079 267.741 200.377 1086 268.235 208.955 1090 269.392 217.766 1090 271.546 226.388 1100 275.447 233.788 1111 280.722 238.353 1114 287.415 241.848 1114 295.703 243.998 1114 305.226 244.879 1129 314.62 243.323 1148 322.913 240.561 1171 329.319 235.938 1221 333.954 230.013 0 336.5 222.103 1536 337.136 213.795 1542 337.34 205.367 0 336.714 197.545 1183 335.404 189.175 0 285.708 187.401 1060 318.942 186.885 1086 302.797 199.568 1060 294.433 172.895 1053 286.041 171.839 1060 275.788 173.208 1083 269.165 178.43 1083 265.998 184.143 1083 309.015 172.556 1086 317.005 171.248 1097 327.283 172.187 1118 334.208 177.122 0 337.477 182.352 0
1390385863.571 293.736 189.459 1079 290.363 186.811 1083 286.079 185.966 1086 281.977 187.359 1090 279.157 190.613 1090 282.647 191.367 1086 286.651 191.362 1083 290.498 190.591 1079 312.116 189.115 1097 315.115 186.609 1100 319.351 185.594 1107 323.541 186.83 1111 326.273 189.794 1118 323.324 190.657 1111 319.465 190.757 1104 315.576 190.139 1100 294.599 177.808 1069 286.784 176.758 1079 278.228 177.738 1100 273.27 181.821 1097 270.598 186.803 1100 272.689 187.552 1097 275.899 183.809 1093 280.046 181.429 1093 287.08 180.943 1086 294.053 181.577 1076 309.958 177.552 1100 317.219 176.261 1111 325.593 176.853 1125 330.805 180.714 1136 333.633 185.286 0 331.641 186.379 1136 328.462 182.839 1129 324.273 180.663 1114 317.423 180.428 1107 310.742 181.245 1100 298.771 188.651 1083 298.53 193.417 1079 296.894 197.12 1076 294.256 200.269 1076 295.589 204.962 1076 301.979 203.763 1079 306.107 203.715 1083 312.499 204.512 1090 313.361 199.875 1093 310.195 196.584 1090 308.212 193 1090 307.342 188.384 1090 292.28 219.743 1079 295.608 214.823 1076 300.338 211.229 1076 304.867 211.816 1083 309.197 211.028 1086 314.115 214.168 1090 317.75 218.898 1100 314.732 220.147 1093 310.631 221.056 1086 305.606 221.414 1083 300.325 221.428 1076 295.795 220.91 1076 295.759 218.479 1073 299.585 216.211 1076 305.074 215.607 1083 310.426 215.95 1086 314.175 218.024 1093 310.36 216.736 1086 305.131 216.594 1083 299.823 216.991 1076 268.593 193.452 1100 268.544 202.052 1107 269.253 210.53 1114 270.643 219.189 1118 273.02 227.541 1125 277.073 234.639 1129 282.479 239.081 1133 289.24 242.514 1133 297.487 244.664 1136 306.948 245.47 1144 316.129 243.808 1167 324.053 240.87 1195 330.124 236.234 1234 334.511 230.372 0 336.821 222.765 0 337.282 214.779 0 337.368 206.632 0 336.645 199.075 0 335.257 190.936 0 286.389 189.191 1083 319.345 188.687 1104 303.86 201.35 1079 294.882 174.362 1069 286.555 173.299 1086 276.391 174.606 1107 269.841 179.813 1104 266.698 185.461 1107 309.423 174.087 1111 317.169 172.746 1118 327.19 173.545 1136 334.097 178.378 1171 337.428 183.535 0
1390385863.618 293.991 190.856 1086 290.667 188.244 1086 286.423 187.396 1097 282.368 188.734 1097 279.557 191.887 1097 283.015 192.685 1097 286.976 192.719 1093 290.784 191.983 1086 312.243 190.597 1107 315.186 188.131 1111 319.37 187.141 1114 323.511 188.346 1118 326.235 191.229 1125 323.329 192.12 1118 319.516 192.241 1111 315.662 191.629 1107 294.849 179.446 1076 287.19 178.363 1086 278.812 179.228 1107 273.887 183.132 1107 271.164 187.934 1107 273.186 188.73 1104 276.423 185.144 1100 280.569 182.88 1104 287.466 182.458 1093 294.31 183.122 1083 310.117 179.272 1111 317.188 177.984 1118 325.344 178.508 1129 330.487 182.202 1148 333.362 186.592 1151 331.442 187.735 1144 328.256 184.349 1133 324.109 182.274 1122 317.412 182.066 1114 310.895 182.873 1111 299.033 190.181 1086 298.818 194.931 1086 297.247 198.682 1086 294.711 201.859 1090 296.081 206.478 1086 302.316 205.37 1086 306.407 205.344 1086 312.615 206.098 1097 313.486 201.517 1100 310.354 198.174 1097 308.382 194.532 1097 307.487 189.942 1100 292.982 220.901 1086 296.243 216.284 1083 300.804 212.862 1086 305.203 213.459 1090 309.365 212.702 1093 314.115 215.722 1100 317.692 220.191 1111 314.727 221.194 1100 310.731 221.935 1093 305.916 222.205 1086 300.822 222.219 1086 296.421 221.817 1083 296.474 219.664 1083 300.168 217.673 1083 305.426 217.155 1086 310.53 217.482 1093 314.106 219.339 1100 310.429 217.775 1093 305.44 217.531 1086 300.387 217.957 1083 268.992 194.447 1111 269.007 202.926 1111 269.75 211.334 1122 271.197 219.911 1125 273.622 228.141 1136 277.739 235.124 1140 283.16 239.476 1140 289.881 242.817 1140 298.018 244.884 1140 307.286 245.658 1155 316.314 244.069 1175 324.126 241.265 1204 330.141 236.796 1234 334.535 231.122 0 336.891 223.642 1529 337.362 215.759 0 337.447 207.709 0 336.74 200.198 0 335.377 192.175 1148 286.723 190.563 1093 319.381 190.179 1111 304.152 202.94 1086 295.152 176.056 1079 287 174.956 1104 277.051 176.125 1111 270.552 181.106 1111 267.355 186.552 1114 309.541 175.859 1118 317.079 174.522 1125 326.84 175.235 1140 333.664 179.854 1171 337.048 184.802 0
1390385863.681 293.912 192.242 1097 290.649 189.689 1100 286.458 188.869 1107 282.467 190.205 1107 279.705 193.318 1111 283.077 194.121 1107 286.988 194.151 1104 290.759 193.412 1097 312.198 191.923 1118 315.094 189.462 1122 319.228 188.463 1125 323.313 189.628 1129 325.984 192.467 1136 323.132 193.389 1125 319.36 193.541 1125 315.539 192.954 1122 294.866 181.128 1086 287.379 180.087 1107 279.208 180.932 1118 274.297 184.657 1114 271.52 189.288 1118 273.45 190.199 1114 276.696 186.745 1114 280.838 184.559 1114 287.608 184.125 1104 294.348 184.751 1097 310.134 180.887 1125 317.046 179.603 1133 325.012 180.076 1140 330.093 183.555 1163 332.959 187.736 1159 331.144 188.96 1155 327.976 185.744 1144 323.851 183.787 1133 317.275 183.62 1125 310.883 184.433 1118 299.022 191.66 1100 298.746 196.359 1097 297.169 200.135 1097 294.692 203.402 1097 296.1 207.978 1097 302.205 206.867 1097 306.221 206.821 1100 312.261 207.533 1111 313.194 202.982 1114 310.198 199.592 1107 308.271 195.941 1107 307.381 191.4 1111 292.917 222.382 1100 296.156 217.879 1097 300.627 214.498 1097 304.954 215.055 1100 309.063 214.31 1104 313.63 217.261 1111 317.072 221.595 1122 314.151 222.314 1114 310.247 222.868 1107 305.529 223.097 1100 300.562 223.197 1097 296.278 222.98 1097 296.481 221.115 1097 300.084 219.233 1097 305.139 218.713 1100 310.009 219.018 1107 313.451 220.72 1111 309.848 218.847 1107 305.109 218.514 1100 300.282 219.053 1097 268.731 195.801 1125 268.706 204.205 1125 269.419 212.621 1133 270.823 221.198 1140 273.214 229.424 1148 277.342 236.422 1151 282.761 240.732 1151 289.477 243.971 1148 297.602 245.895 1155 306.778 246.581 1163 315.71 245.012 1183 323.504 242.285 1204 329.527 237.87 0 333.939 232.243 0 336.362 224.727 1536 336.936 216.808 0 337.085 208.753 0 336.447 201.199 0 335.143 193.233 0 286.752 192.001 1107 319.231 191.478 1125 304.005 204.414 1100 295.2 177.766 1090 287.23 176.708 1107 277.554 177.84 1122 271.127 182.579 1122 267.879 187.822 1129 309.549 177.52 1129 316.928 176.183 1136 326.44 176.832 1151 333.121 181.184 1187 336.48 185.9 0
1390385863.727 292.55 192.492 1100 289.433 189.981 1104 285.37 189.19 1111 281.487 190.421 1111 278.807 193.35 1114 282.029 194.207 1111 285.808 194.279 1111 289.485 193.592 1104 310.451 192.248 1118 313.271 189.843 1125 317.331 188.915 1129 321.336 190.023 1133 324.013 192.729 1140 321.147 193.666 1133 317.423 193.815 1129 313.681 193.245 1125 293.369 181.446 1093 286.337 180.3 1111 278.612 180.92 1122 273.914 184.36 1122 271.239 188.754 1122 273.053 189.752 1118 276.146 186.543 1118 280.099 184.559 1114 286.486 184.269 1107 292.84 184.962 1097 308.536 181.204 1125 315.234 179.896 1133 322.933 180.244 1140 327.912 183.541 1151 330.713 187.574 1159 329.009 188.84 1155 325.889 185.8 1144 321.807 183.987 1136 315.446 183.864 1129 309.228 184.664 1125 297.441 191.936 1104 297.07 196.753 1100 295.456 200.71 1100 292.982 204.201 1100 294.244 208.764 1100 299.993 207.794 1100 303.965 207.761 1100 310.027 208.492 1111 310.997 203.95 1111 308.12 200.366 1111 306.358 196.46 1114 305.617 191.747 1114 291.558 223.42 1104 294.371 218.762 1100 298.559 215.377 1100 302.667 215.947 1104 306.627 215.246 1111 311.046 218.31 1111 314.252 222.846 1118 311.647 224.17 1114 307.918 225.192 1111 303.233 225.587 1107 298.399 225.444 1104 294.457 224.681 1104 295.088 222.328 1100 298.155 220.198 1100 302.847 219.641 1104 307.473 220.064 1107 310.643 222.072 1111 307.371 220.923 1107 302.885 220.79 1100 298.403 221.065 1100 268.803 195.621 1125 268.677 203.953 1129 269.343 212.258 1136 270.717 220.68 1144 272.979 228.754 1151 276.76 235.761 1151 281.699 240.406 1155 287.877 244.099 1159 295.46 246.524 1159 304.24 247.504 1167 312.977 245.987 1179 320.622 243.077 1204 326.606 238.47 1216 331.067 232.713 0 333.726 225.232 0 334.649 217.327 0 335.075 209.245 0 334.7 201.583 0 333.619 193.511 1159 285.621 192.189 1111 317.331 191.811 1129 301.973 205.255 1100 293.816 178.116 1093 286.317 176.94 1114 277.12 177.799 1129 270.9 182.193 1129 267.736 187.184 1129 307.942 177.872 1129 315.082 176.51 1136 324.261 177.014 1151 330.784 181.141 1171 334.064 185.69 0
1390385863.774 291.484 192.582 1107 288.416 190.153 1111 284.398 189.392 1114 280.528 190.575 1118 277.824 193.41 1118 281.024 194.231 1114 284.774 194.303 1111 288.439 193.65 1111 309.649 192.406 1125 312.485 190.096 1129 316.529 189.242 1136 320.51 190.338 1140 323.206 192.99 1144 320.291 193.867 1140 316.55 193.972 1133 312.823 193.397 1129 292.377 181.397 1100 285.573 180.246 1107 278.122 180.81 1125 273.471 184.053 1125 270.753 188.261 1125 272.409 189.378 1125 275.543 186.308 1125 279.501 184.429 1122 285.697 184.179 1111 291.885 184.871 1104 307.872 181.184 1133 314.431 179.954 1140 321.956 180.348 1151 326.888 183.521 1155 329.68 187.422 1167 328.093 188.763 1163 324.928 185.806 1151 320.817 184.052 1144 314.563 183.891 1140 308.434 184.621 1125 296.465 192.014 1111 295.96 196.75 1104 294.237 200.689 1104 291.662 204.268 1104 292.889 208.773 1104 298.626 207.743 1107 302.658 207.72 1111 308.812 208.599 1118 309.886 204.114 1122 307.047 200.451 1118 305.34 196.538 1118 304.654 191.879 1125 290.18 223.605 1107 292.897 218.714 1107 297.085 215.232 1107 301.189 215.772 1111 305.183 215.132 1114 309.594 218.356 1122 312.689 223.15 1129 310.15 224.607 1125 306.438 225.724 1114 301.649 226.156 1114 296.77 225.95 1104 292.911 225.034 1104 293.744 222.543 1107 296.687 220.155 1104 301.331 219.525 1111 305.932 220.064 1114 309.052 222.342 1122 305.819 221.374 1114 301.373 221.265 1111 296.948 221.483 1104 267.832 195.808 1133 267.545 204.001 1136 268.074 212.156 1140 269.344 220.435 1144 271.487 228.401 1148 275.088 235.398 1148 279.915 240.212 1159 286.03 244.071 1159 293.579 246.686 1159 302.397 247.775 1171 311.258 246.342 1187 319.054 243.416 1204 325.231 238.761 1221 329.838 232.928 0 332.637 225.524 0 333.774 217.677 0 334.364 209.664 0 334.128 202.038 0 333.164 194.055 0 284.611 192.287 1114 316.506 192.039 1136 300.727 205.295 1111 292.902 178.113 1100 285.625 176.923 1122 276.732 177.703 1133 270.59 181.845 1133 267.379 186.623 1133 307.284 177.9 1136 314.297 176.616 1144 323.268 177.167 1159 329.681 181.143 1175 332.938 185.546 0
