0.0 0x 0y 0z 1x 1y 1z 2x 2y 2z 3x 3y 3z 4x 4y 4z 5x 5y 5z 6x 6y 6z 7x 7y 7z 8x 8y 8z 9x 9y 9z 10x 10y 10z 11x 11y 11z 12x 12y 12z 13x 13y 13z 14x 14y 14z 15x 15y 15z 16x 16y 16z 17x 17y 17z 18x 18y 18z 19x 19y 19z 20x 20y 20z 21x 21y 21z 22x 22y 22z 23x 23y 23z 24x 24y 24z 25x 25y 25z 26x 26y 26z 27x 27y 27z 28x 28y 28z 29x 29y 29z 30x 30y 30z 31x 31y 31z 32x 32y 32z 33x 33y 33z 34x 34y 34z 35x 35y 35z 36x 36y 36z 37x 37y 37z 38x 38y 38z 39x 39y 39z 40x 40y 40z 41x 41y 41z 42x 42y 42z 43x 43y 43z 44x 44y 44z 45x 45y 45z 46x 46y 46z 47x 47y 47z 48x 48y 48z 49x 49y 49z 50x 50y 50z 51x 51y 51z 52x 52y 52z 53x 53y 53z 54x 54y 54z 55x 55y 55z 56x 56y 56z 57x 57y 57z 58x 58y 58z 59x 59y 59z 60x 60y 60z 61x 61y 61z 62x 62y 62z 63x 63y 63z 64x 64y 64z 65x 65y 65z 66x 66y 66z 67x 67y 67z 68x 68y 68z 69x 69y 69z 70x 70y 70z 71x 71y 71z 72x 72y 72z 73x 73y 73z 74x 74y 74z 75x 75y 75z 76x 76y 76z 77x 77y 77z 78x 78y 78z 79x 79y 79z 80x 80y 80z 81x 81y 81z 82x 82y 82z 83x 83y 83z 84x 84y 84z 85x 85y 85z 86x 86y 86z 87x 87y 87z 88x 88y 88z 89x 89y 89z 90x 90y 90z 91x 91y 91z 92x 92y 92z 93x 93y 93z 94x 94y 94z 95x 95y 95z 96x 96y 96z 97x 97y 97z 98x 98y 98z 99x 99y 99z
1391186610.662 333.114 224.122 0 330.33 222.455 1221 326.965 221.856 1238 323.632 221.971 1243 320.813 222.863 1243 323.515 223.79 1238 326.765 224.237 1234 330.02 224.31 1221 349.731 225.69 1243 352.429 224.511 1243 355.731 224.472 1243 358.82 225.27 1247 361.139 226.841 1252 358.482 227.172 1243 355.467 227.003 1238 352.454 226.439 1238 334.872 216.303 1216 329.705 214.548 1238 323.912 213.758 1252 319.584 214.918 1256 316.27 217.07 1261 317.051 218.957 1256 320.39 217.765 1252 324.248 217.306 1247 329.261 217.859 1225 334.2 219.071 1216 350.09 217.72 1252 354.889 216.95 1256 359.949 217.018 1256 363.645 218.608 1265 365.916 220.989 1265 365.174 222.875 1261 362.464 221.311 1256 359.155 220.412 1256 354.759 220.174 1252 350.231 220.431 1247 338.249 224.335 1216 337.26 229.587 1208 335.062 233.832 1208 331.7 236.972 1212 331.848 241.288 1208 338.146 242.505 1208 342.333 242.983 1212 347.282 243.042 1216 348.524 239.057 1216 346.263 234.921 1221 345.233 230.193 1234 345.298 225.077 1238 327.951 250.972 1204 331.45 249.192 1204 335.631 247.959 1208 338.909 249.028 1208 342.319 248.671 1212 345.895 250.648 1212 349.111 252.829 1216 345.972 255.267 1204 342.53 256.487 1200 338.082 256.551 1200 333.741 255.454 1200 330.537 253.594 1200 330.752 251.355 1204 333.98 251.241 1204 338.263 251.665 1204 342.546 252.057 1204 346.506 252.706 1208 342.868 252.647 1204 338.498 252.427 1200 334.256 251.724 1204 308.582 221.719 1261 307.887 229.325 1256 307.672 236.867 1247 307.976 244.64 1247 309.068 251.996 1243 311.694 258.601 1238 315.677 263.895 1225 320.778 268.486 1221 327.129 271.971 1216 334.716 273.951 1216 342.599 273.475 1216 349.075 270.823 1225 354.007 266.551 1221 358.085 261.776 1225 361.618 255.912 1247 364.221 249.32 1252 366.585 242.245 1252 368.022 235.021 1256 368.37 227.26 1265 326.894 223.201 1234 355.532 225.925 1243 340.145 239.325 1212 335.934 213.276 1221 330.467 211.428 1247 323.75 210.556 1256 318.344 211.979 1265 314.589 214.361 1265 349.625 214.572 1252 354.681 213.788 1256 360.601 213.943 1261 365.412 216.021 1270 368.163 218.791 1275
1391186610.758 331.781 224.116 1225 329.432 221.98 1229 326.16 221.066 1238 322.897 221.561 1243 320.369 223.285 1243 322.754 224.598 1238 325.852 225.163 1234 329.018 224.998 1229 348.573 225.354 1243 351.138 223.563 1243 354.462 223.07 1247 357.52 223.975 1247 359.526 225.998 1252 357.236 226.954 1243 354.276 227.121 1238 351.162 226.52 1243 333.985 215.997 1216 329.127 214.252 1238 323.779 213.583 1252 319.306 214.575 1256 315.903 216.649 1261 316.396 218.754 1256 319.906 217.487 1252 323.826 216.978 1252 328.573 217.513 1225 333.384 218.778 1212 347.73 216.982 1252 352.42 215.991 1252 357.545 216.034 1256 361.523 217.477 1265 364.323 219.752 1265 363.625 221.725 1261 360.617 220.189 1256 357.1 219.29 1256 352.553 219.242 1252 348.014 219.806 1243 336.641 224.605 1221 335.662 229.417 1216 333.828 233.638 1216 330.994 237.171 1216 331.87 241.422 1216 337.735 242.222 1212 341.625 242.526 1216 346.788 242.312 1221 348.043 238.22 1221 345.774 234.271 1216 344.51 229.88 1238 344.08 225.058 1238 326.695 252.152 1204 330.855 250.17 1204 335.304 248.878 1204 339.047 249.736 1204 342.679 249.377 1204 346.512 251.041 1208 349.869 253.521 1212 346.58 255.136 1204 343.016 255.951 1204 338.526 256.039 1200 333.898 255.379 1200 330.163 254.132 1200 329.191 252.121 1204 334.107 251.971 1200 338.82 252.335 1200 343.329 252.557 1204 347.661 253.235 1204 343.314 252.65 1204 338.768 252.375 1200 334.026 252.035 1200 308.256 222.672 1261 307.523 230.513 1256 307.486 238.402 1243 308.241 246.474 1243 310.045 254.068 1238 313.63 260.848 1234 318.137 265.543 1229 323.542 269.336 1221 330.015 271.826 1216 337.26 273.077 1216 344.487 272.368 1221 350.858 270.269 1229 356.233 266.62 1234 360.8 262.028 1238 364.456 255.509 1256 366.734 248.337 1256 368.187 240.894 1256 368.889 233.554 1261 368.951 226.192 1265 326.033 223.346 1234 354.237 225.319 1243 339.582 238.973 1212 335.07 213.239 1221 329.879 211.391 1247 323.651 210.639 1252 318.167 211.867 1261 314.32 214.18 1265 347.017 214.102 1252 352.047 213.057 1252 358.07 213.141 1256 363.059 214.966 1270 366.286 217.55 1270
1391186610.807 331.507 224.043 1225 329.133 221.875 1225 325.836 220.939 1238 322.547 221.415 1243 320.004 223.123 1238 322.417 224.461 1238 325.527 225.043 1234 328.707 224.895 1234 348.245 225.296 1238 350.834 223.493 1243 354.181 223 1247 357.263 223.912 1252 359.311 225.929 1252 356.998 226.889 1243 354.03 227.059 1238 350.893 226.46 1238 333.656 216.098 1216 328.771 214.291 1252 323.371 213.564 1256 318.87 214.554 1261 315.453 216.634 1261 315.975 218.721 1256 319.502 217.462 1252 323.437 216.967 1252 328.21 217.546 1229 333.038 218.863 1216 347.305 217.086 1252 352.045 216.064 1256 357.231 216.082 1256 361.258 217.545 1265 364.132 219.851 1265 363.421 221.814 1256 360.355 220.265 1261 356.803 219.357 1256 352.21 219.318 1252 347.627 219.902 1238 336.28 224.519 1225 335.327 229.398 1216 333.515 233.646 1216 330.659 237.142 1216 331.493 241.397 1216 337.426 242.347 1212 341.397 242.669 1216 346.707 242.357 1221 347.908 238.246 1221 345.523 234.308 1221 344.23 229.88 1238 343.79 224.988 1234 326.419 251.953 1204 330.59 250 1204 335.052 248.764 1204 338.817 249.67 1204 342.468 249.308 1208 346.427 250.98 1212 349.928 253.472 1216 346.559 255.267 1204 342.904 256.196 1204 338.344 256.291 1200 333.654 255.54 1200 329.893 254.144 1200 328.839 251.965 1204 333.803 251.84 1200 338.623 252.259 1200 343.292 252.501 1204 347.753 253.222 1208 343.296 252.843 1204 338.563 252.603 1200 333.704 252.149 1200 308.277 222.401 1261 307.57 230.278 1252 307.563 238.156 1243 308.386 246.238 1247 310.254 253.847 1238 313.897 260.636 1234 318.394 265.351 1229 323.738 269.209 1216 330.128 271.772 1216 337.319 273.085 1221 344.566 272.392 1229 350.933 270.293 1229 356.312 266.651 1243 360.921 262.092 1247 364.636 255.571 1252 366.9 248.371 1256 368.326 240.871 1252 368.989 233.491 1261 369.03 226.052 1270 325.71 223.224 1234 353.969 225.255 1243 339.329 239.014 1216 334.748 213.347 1216 329.528 211.433 1256 323.233 210.615 1256 317.698 211.848 1261 313.832 214.176 1265 346.558 214.203 1252 351.631 213.126 1256 357.723 213.181 1256 362.794 215.028 1270 366.11 217.642 1270
1391186610.854 330.614 224.195 1229 328.199 222.158 1234 324.895 221.329 1238 321.618 221.826 1243 319.096 223.477 1238 321.519 224.761 1238 324.633 225.286 1238 327.819 225.094 1234 347.697 225.097 1238 350.261 223.297 1243 353.593 222.765 1247 356.697 223.559 1247 358.844 225.438 1247 356.515 226.448 1243 353.532 226.693 1243 350.365 226.186 1243 332.598 216.221 1216 327.856 214.523 1252 322.665 213.855 1256 318.222 214.733 1261 314.803 216.676 1265 315.209 218.854 1261 318.755 217.687 1261 322.697 217.228 1252 327.334 217.735 1238 332.075 218.943 1216 346.61 216.901 1256 351.216 215.757 1256 356.267 215.582 1256 360.352 216.76 1265 363.37 218.832 1270 362.817 220.917 1261 359.609 219.576 1256 355.966 218.855 1256 351.448 218.962 1252 346.936 219.659 1238 335.476 224.588 1221 334.55 229.482 1216 332.76 233.821 1221 329.856 237.46 1221 330.765 241.655 1216 336.778 242.551 1216 340.889 242.792 1212 346.335 242.332 1221 347.49 238.226 1221 344.97 234.275 1221 343.601 229.809 0 343.078 224.911 1234 325.774 252.206 1204 330.033 250.263 1204 334.548 249.054 1204 338.399 249.855 1204 342.112 249.416 1208 346.254 250.884 1212 350.01 253.194 1221 346.527 255.325 1208 342.797 256.488 1200 338.043 256.747 1200 333.179 256.034 1200 329.357 254.566 1200 328.07 252.263 1204 333.289 252.055 1200 338.27 252.379 1200 343.137 252.494 1204 347.946 253.099 1216 343.163 253.135 1204 338.206 253.087 1200 333.157 252.658 1200 307.326 222.955 1261 306.745 230.762 1256 306.884 238.526 1243 307.902 246.481 1247 309.951 253.943 1243 313.718 260.605 1234 318.281 265.313 1225 323.66 269.157 1221 330.045 271.692 1216 337.253 272.895 1221 344.542 272.087 1225 350.938 269.821 1229 356.363 266.043 1238 361.01 261.38 1252 364.746 254.866 1252 367.044 247.684 1256 368.435 240.207 1261 369.052 232.826 1270 369.025 225.433 1275 324.799 223.516 1238 353.438 224.935 1243 338.731 239.139 1216 333.703 213.496 1221 328.626 211.691 1256 322.574 210.93 1261 317.139 212.022 1261 313.276 214.197 1265 345.75 214.074 1252 350.687 212.864 1256 356.612 212.685 1256 361.716 214.173 1270 365.185 216.52 1275
1391186610.903 328.491 224.306 1229 326.061 222.545 1234 322.813 221.958 1238 319.623 222.529 1243 317.168 224.115 1247 319.621 225.215 1238 322.687 225.574 1243 325.799 225.281 1234 345.813 224.467 1238 348.272 222.707 1243 351.489 222.131 1247 354.537 222.712 1252 356.8 224.349 1252 354.485 225.384 1247 351.551 225.724 1243 348.427 225.388 1238 330.178 216.159 1221 325.806 214.703 1238 321.149 214.211 1256 316.883 214.933 1265 313.509 216.669 1270 313.718 219.031 1261 317.26 217.984 1261 321.157 217.545 1252 325.421 217.875 1234 329.87 218.834 1221 344.511 216.214 1252 348.678 214.899 1261 353.25 214.431 1261 357.303 215.094 1265 360.462 216.756 1270 360.218 219.042 1265 356.855 218.066 1261 353.169 217.687 1256 348.982 218.03 1252 344.803 218.887 1243 333.474 224.402 1229 332.622 229.299 1221 330.909 233.751 1221 328.022 237.684 1221 329.094 241.761 1221 335.212 242.328 1216 339.438 242.391 1212 344.953 241.806 1221 345.984 237.717 1234 343.317 233.737 1229 341.792 229.284 0 341.074 224.412 0 324.653 252.799 1204 328.665 250.267 1208 333.151 248.719 1208 337.048 249.272 1204 340.778 248.748 1208 344.994 250.212 1208 348.658 252.781 1216 345.427 255.689 1208 341.815 257.462 1204 336.887 258.107 1204 331.866 257.433 1200 328.089 255.663 1200 326.906 252.856 1204 332.015 251.916 1204 337.008 251.867 1204 341.875 251.935 1204 346.641 252.852 1208 341.921 253.88 1204 336.959 254.256 1204 331.885 253.837 1200 305.277 224.268 1265 304.895 231.992 1256 305.264 239.578 1247 306.598 247.328 1252 308.933 254.549 1243 312.826 261.037 1234 317.461 265.836 1234 322.923 269.742 1225 329.341 272.309 1216 336.623 273.317 1221 343.952 272.175 1225 350.27 269.389 1234 355.609 265.131 1238 360.104 260.029 1252 363.64 253.442 1256 365.869 246.257 1256 367.096 238.806 1256 367.505 231.466 1270 367.236 224.234 1275 322.783 223.94 1238 351.422 224.108 1243 337.116 238.897 1212 331.261 213.468 1221 326.548 211.909 1252 321.104 211.331 1256 315.944 212.213 1270 312.142 214.151 1275 343.477 213.5 1256 347.979 212.097 1261 353.347 211.56 1261 358.35 212.406 1270 361.97 214.294 1275
1391186610.956 327.808 224.308 1234 325.403 222.523 1238 322.196 221.907 1247 319.079 222.522 1247 316.7 224.181 1252 319.102 225.307 1243 322.1 225.676 1247 325.152 225.37 1234 345.175 224.413 1252 347.584 222.574 1247 350.751 221.94 1252 353.762 222.539 1252 355.99 224.234 1252 353.736 225.327 1247 350.855 225.708 1243 347.76 225.382 1243 329.562 216.276 1216 325.297 214.817 1238 320.754 214.344 1261 316.462 214.991 1265 313.032 216.669 1270 313.193 219.191 1261 316.786 218.163 1261 320.726 217.726 1252 324.925 218.033 1238 329.319 219 1221 343.64 216.257 1252 347.691 214.899 1261 352.175 214.425 1265 356.227 214.973 1270 359.497 216.523 1270 359.364 218.984 1270 355.889 218.06 1261 352.168 217.713 1261 348.005 218.079 1256 343.917 218.987 1243 332.803 224.543 1229 331.93 229.463 1221 330.256 233.999 1225 327.528 238.029 1225 328.698 242.157 1216 334.734 242.807 1216 338.813 242.861 1216 344.299 242.14 1225 345.374 237.965 1234 342.747 233.914 1234 341.172 229.415 0 340.347 224.528 1243 324.195 253.159 1204 328.314 250.883 1208 332.716 249.46 1208 336.587 250.016 1212 340.252 249.456 1212 344.5 250.765 1216 348.406 253.05 1221 344.942 255.46 1212 341.288 256.839 1212 336.526 257.341 1204 331.686 256.819 1204 327.876 255.447 1204 326.405 253.141 1204 331.678 252.554 1204 336.591 252.588 1208 341.421 252.544 1212 346.416 253.076 1216 341.474 253.456 1208 336.555 253.639 1208 331.556 253.428 1204 304.737 224.226 1265 304.321 232.045 1256 304.609 239.788 1247 305.888 247.752 1256 308.195 255.214 1243 312.218 261.893 1229 317.005 266.669 1234 322.617 270.433 1225 329.168 272.772 1225 336.419 273.66 1221 343.798 272.599 1229 350.287 270.052 1238 355.803 265.938 1252 360.422 260.903 1252 364 254.099 1261 366.113 246.627 1265 367.185 238.913 1261 367.451 231.304 1275 367.057 223.902 1280 322.192 223.974 1247 350.702 224.015 1243 336.556 239.234 1221 330.639 213.55 1221 326.023 211.982 1261 320.717 211.418 1265 315.564 212.202 1270 311.705 214.072 1275 342.564 213.516 1256 346.958 212.062 1265 352.208 211.509 1265 357.168 212.2 1270 360.897 213.95 1280
1391186611.12 325.819 224.897 1238 323.493 223.353 1238 320.442 222.836 1243 317.491 223.439 1247 315.185 224.978 1252 317.543 225.999 1247 320.392 226.33 1243 323.301 226.024 1234 343.432 224.787 1247 345.702 223.078 1252 348.689 222.474 1252 351.574 222.975 1252 353.822 224.512 1252 351.639 225.589 1252 348.855 225.997 1252 345.874 225.734 1247 327.474 216.409 1229 323.7 215.094 1238 319.79 214.684 1261 315.698 215.044 1270 312.257 216.373 1270 312.109 219.136 1265 315.778 218.298 1261 319.706 217.969 1256 323.454 218.209 1238 327.464 219.059 1234 341.73 216.203 1256 345.247 214.878 1265 349.178 214.363 1270 353.06 214.513 1270 356.439 215.627 1275 356.656 218.356 1270 353.014 217.693 1265 349.304 217.55 1261 345.496 217.963 1256 341.821 218.873 1247 331.014 225.171 0 330.108 229.838 1221 328.475 234.346 1221 325.887 238.498 1221 327.266 242.418 1221 333.146 242.861 1216 337.126 242.868 1216 342.505 242.22 1229 343.659 238.168 1234 341.012 234.076 1238 339.347 229.675 1234 338.35 225.072 0 323.162 253.018 1204 327.131 250.837 1208 331.288 249.408 1208 335.014 249.841 1216 338.466 249.293 1216 342.632 250.538 1221 346.601 252.653 1221 343.089 254.451 1216 339.555 255.377 1212 335.084 255.758 1208 330.551 255.45 1204 326.86 254.566 1204 325.334 252.885 1208 330.482 252.404 1208 335.087 252.38 1212 339.637 252.296 1216 344.608 252.62 1216 339.651 252.284 1216 335.038 252.257 1212 330.387 252.351 1208 303.153 225.374 1275 302.765 232.812 1261 302.999 240.19 1256 304.281 247.814 1256 306.579 254.947 1252 310.616 261.34 1243 315.574 265.99 1238 321.385 269.494 1221 328.051 271.577 1225 335.266 272.231 1234 342.684 271.276 1229 349.329 268.93 1238 355.074 265.024 1247 359.786 260.116 1256 363.251 253.572 1265 365.223 246.299 1261 366.107 238.839 1270 366.214 231.406 1275 365.679 224.372 1280 320.458 224.732 1243 348.698 224.393 1252 334.885 239.432 1216 328.552 213.792 1221 324.416 212.363 1252 319.816 211.852 1270 314.967 212.27 1275 311.115 213.746 1275 340.555 213.597 1265 344.424 212.163 1270 349.049 211.543 1270 353.739 211.729 1270 357.566 212.976 1275
1391186611.61 323.789 225.485 1238 321.443 224.091 1247 318.415 223.709 1247 315.515 224.419 1256 313.272 226.026 1252 315.647 226.89 1252 318.479 227.089 1247 321.348 226.684 1243 341.435 224.802 1247 343.64 223.087 1252 346.577 222.417 1252 349.45 222.825 1256 351.728 224.283 1256 349.573 225.363 1252 346.804 225.822 1252 343.846 225.655 1252 325.214 216.897 1234 321.477 215.797 1252 317.676 215.606 1270 313.662 216.075 1275 310.3 217.461 1275 310.171 220.224 1265 313.788 219.278 1265 317.675 218.816 1261 321.353 218.877 1247 325.328 219.525 1238 339.538 216.214 1252 342.948 214.852 1261 346.794 214.29 1270 350.638 214.303 1275 353.993 215.271 1270 354.323 217.988 1270 350.68 217.43 1270 346.978 217.395 1265 343.23 217.888 1256 339.631 218.861 1252 329.042 225.552 1234 328.217 230.054 1225 326.668 234.459 1229 324.194 238.645 1229 325.703 242.425 1225 331.532 242.511 1216 335.469 242.383 1216 340.797 241.734 1229 341.886 237.745 1234 339.19 233.798 1234 337.422 229.612 0 336.303 225.224 0 321.921 253.225 1212 325.707 250.715 1212 329.784 249.015 1212 333.51 249.275 1212 336.958 248.657 1216 341.1 249.91 1221 344.988 252.111 1221 341.614 253.843 1216 338.164 254.777 1212 333.71 255.279 1208 329.201 255.175 1204 325.543 254.505 1208 324.149 252.94 1212 329.113 252.109 1208 333.636 251.852 1212 338.09 251.703 1216 342.929 252.062 1221 338.073 251.724 1216 333.584 251.786 1212 329.04 252.094 1208 301.172 227.044 1275 300.921 234.288 1265 301.29 241.474 1265 302.702 248.883 1261 305.111 255.815 1256 309.215 261.998 1247 314.277 266.46 1243 320.219 269.714 1234 327.006 271.537 1229 334.305 271.928 1229 341.746 270.772 1229 348.4 268.267 1238 354.098 264.22 1243 358.658 259.173 1256 361.869 252.635 1265 363.631 245.43 1270 364.307 238.105 1261 364.206 230.834 1275 363.468 224.021 1280 318.488 225.549 1252 346.632 224.282 1252 333.18 239.212 1221 326.2 214.301 1229 322.093 213.102 1261 317.619 212.842 1270 312.891 213.383 1275 309.134 214.918 1275 338.323 213.702 1256 342.097 212.22 1265 346.624 211.539 1270 351.231 211.562 1275 355.021 212.646 1275
1391186611.109 323.083 225.856 1243 320.755 224.549 1247 317.806 224.21 1252 314.957 224.915 1256 312.728 226.485 1256 315.1 227.275 1252 317.875 227.442 1252 320.683 227.037 1243 340.712 225.053 1252 342.906 223.413 1252 345.758 222.772 1252 348.552 223.152 1256 350.81 224.56 1256 348.68 225.584 1256 345.976 226.024 1252 343.09 225.878 1252 324.479 216.916 1229 320.89 215.851 1256 317.282 215.715 1270 313.348 216.161 1275 310.021 217.5 1275 309.789 220.333 1270 313.428 219.381 1265 317.29 218.91 1261 320.827 218.943 1247 324.676 219.563 1234 338.752 216.143 1265 342.001 214.81 1270 345.664 214.285 1270 349.415 214.242 1275 352.742 215.166 1275 353.187 217.929 1275 349.516 217.383 1275 345.855 217.367 1265 342.244 217.853 1261 338.772 218.823 1256 328.344 225.764 1238 327.506 230.215 1234 325.929 234.556 1234 323.353 238.7 1234 324.859 242.446 1229 330.908 242.471 1229 334.882 242.319 1225 340.342 241.657 1234 341.389 237.694 1238 338.591 233.818 1234 336.764 229.723 1229 335.6 225.396 1247 321.09 252.987 1216 324.84 250.184 1212 329.029 248.348 1216 332.808 248.625 1216 336.335 248.015 1221 340.657 249.443 1225 344.583 251.967 1225 341.214 254.107 1221 337.696 255.311 1216 333.092 255.901 1212 328.44 255.698 1208 324.7 254.751 1208 323.197 252.739 1212 328.204 251.584 1212 332.936 251.266 1216 337.645 251.198 1221 342.607 251.924 1221 337.69 252.069 1221 332.942 252.263 1216 328.159 252.426 1212 300.657 227.835 1275 300.381 235.044 1270 300.709 242.079 1265 302.092 249.358 1261 304.481 256.179 1256 308.519 262.266 1247 313.6 266.765 1243 319.59 270.059 1234 326.419 271.946 1234 333.799 272.316 1229 341.274 271.114 1238 347.892 268.473 1247 353.563 264.317 1256 358.046 259.154 1270 361.119 252.725 1270 362.816 245.632 1275 363.423 238.421 1275 363.245 231.297 1280 362.45 224.599 1284 317.873 225.971 1252 345.81 224.555 1252 332.532 239.208 1229 325.462 214.348 1238 321.488 213.181 1256 317.216 212.98 1275 312.609 213.489 1280 308.903 214.968 1280 337.521 213.666 1270 341.145 212.208 1270 345.479 211.565 1275 349.967 211.525 1275 353.725 212.563 1280
1391186611.152 322.101 226.098 1247 319.805 224.927 1252 316.934 224.658 1256 314.148 225.34 1261 311.906 226.825 1261 314.309 227.546 1256 317.03 227.682 1256 319.762 227.285 1252 339.74 225.116 1252 341.88 223.572 1252 344.614 222.97 1256 347.294 223.285 1256 349.545 224.572 1261 347.471 225.566 1256 344.866 226.013 1252 342.066 225.909 1252 323.473 217.056 1234 320.13 216.01 1247 316.869 215.848 1275 312.965 216.118 1280 309.54 217.265 1280 309.164 220.272 1275 312.931 219.434 1275 316.848 219.03 1261 320.145 219.065 1247 323.789 219.657 1238 337.686 216.178 1270 340.546 214.873 1270 343.754 214.32 1275 347.355 214.002 1275 350.74 214.668 1280 351.404 217.553 1275 347.671 217.212 1270 344.079 217.35 1270 340.787 217.868 1261 337.647 218.827 1256 327.47 225.907 1238 326.683 230.343 1234 325.174 234.701 1234 322.631 238.896 1234 324.245 242.558 1234 330.483 242.494 1225 334.494 242.306 1229 339.881 241.577 1238 340.857 237.65 1243 337.949 233.766 1238 335.995 229.719 1234 334.677 225.456 1252 320.573 252.949 1216 324.397 250.053 1216 328.681 248.187 1216 332.506 248.372 1216 336.031 247.735 1225 340.399 249.048 1229 344.35 251.549 1234 341.018 254.03 1225 337.555 255.448 1221 332.932 256.172 1216 328.195 255.989 1216 324.346 254.947 1216 322.553 252.746 1216 327.798 251.392 1216 332.668 250.969 1216 337.458 250.843 1225 342.542 251.593 1229 337.565 252.192 1221 332.721 252.558 1216 327.761 252.713 1216 299.477 228.399 1275 299.294 235.579 1275 299.665 242.524 1261 301.164 249.727 1261 303.694 256.426 1261 307.883 262.392 1252 313.163 266.863 1243 319.35 270.085 1234 326.303 271.892 1234 333.731 272.132 1238 341.18 270.836 1238 347.664 268.058 1252 353.218 263.808 1256 357.566 258.559 1270 360.459 252.217 1275 362.009 245.215 1280 362.451 238.106 1280 362.089 231.108 1284 361.141 224.617 1289 316.999 226.295 1256 344.684 224.625 1252 331.964 239.243 1234 324.451 214.536 1234 320.72 213.386 1252 316.846 213.144 1275 312.335 213.412 1280 308.544 214.663 1280 336.366 213.777 1270 339.596 212.339 1275 343.42 211.646 1275 347.722 211.268 1280 351.552 212.015 1284
